name;core;cpu;generation;performance;ram/size;ram/unit;pci/gpu;gpu_model_name;pci/eth;max_nics;max_ips;io_optimized;volume_type;storage/number;ephemerals_type;storage/size;storage/unit;storage_bandwidth/size;storage_bandwidth/unit;architecture
og4.4xlarge;24;;4;2;184;GiB;3;nvidia-k2;;8;30;;;1;SSD;393216;MiB;1000;MB;x86_64
og4.8xlarge;32;;4;2;246;GiB;4;nvidia-k2;;8;30;;;1;SSD;524288;MiB;1000;MB;x86_64
og4.xlarge;8;;4;2;61;GiB;1;nvidia-k2;;4;15;;;1;SSD;131072;MiB;1000;MB;x86_64
om5.12xlarge;36;;4;2;983;GiB;;;;8;30;TRUE;gp2;;;;;4000;MB;x86_64
om5.18xlarge;54;;4;2;1475;GiB;;;;8;30;TRUE;gp2;;;;;4000;MB;x86_64
om5.2xlarge;6;;4;2;164;GiB;;;;4;15;TRUE;gp2;;;;;4000;MB;x86_64
om5.4xlarge;12;;4;2;328;GiB;;;;4;15;TRUE;gp2;;;;;4000;MB;x86_64
om5.6xlarge;18;;4;2;492;GiB;;;;8;30;TRUE;gp2;;;;;4000;MB;i386,x86_64
om5.8xlarge;24;;4;2;655;GiB;;;;8;30;TRUE;gp2;;;;;4000;MB;x86_64
os1.2xlarge;4;host;1;2;66;GiB;;;1;8;30;;;1;SSD;61440;MiB;;;x86_64
os1.4xlarge;8;host;1;2;131;GiB;;;1;8;30;;;1;SSD;122880;MiB;;;x86_64
os1.8xlarge;15;host;1;2;250;GiB;;;1;8;30;;;1;SSD;512000;MiB;;;x86_64
os3.2xlarge;16;host;3;2;66;GiB;;;1;8;30;;;1;SSD;409600;MiB;;;x86_64
p100.2xlarge;8;;5;1;61;GiB;1;nvidia-p100;;4;15;;;1;;122880;MiB;1500;MB;x86_64
p100.4xlarge;16;;5;1;122;GiB;1;nvidia-p100;;4;15;;;1;;122880;MiB;1500;MB;i386,x86_64
p100.8xlarge;32;;5;1;244;GiB;2;nvidia-p100;;4;15;;;1;;122880;MiB;1500;MB;i386,x86_64
p3.2xlarge;8;;5;1;61;GiB;1;nvidia-p100;;4;15;;;1;;122880;MiB;1500;MB;x86_64
p6.8xlarge;32;;5;1;244;GiB;1;nvidia-p6;;4;15;;;1;;122880;MiB;1500;MB;x86_64
r3.2xlarge;8;;3;2;62;GiB;;;;4;15;;;1;SSD;163840;MiB;;;x86_64
r3.4xlarge;16;;3;2;125;GiB;;;;8;30;;;1;SSD;327680;MiB;;;x86_64
r3.8xlarge;32;;3;2;250;GiB;;;;8;30;;;2;SSD;327680;MiB;;;i386,x86_64
r3.large;2;;3;2;15;GiB;;;;3;10;;;1;SSD;32768;MiB;;;x86_64
r3.xlarge;4;;3;2;31;GiB;;;;4;15;;;1;SSD;81920;MiB;;;x86_64
r4.16xlarge;64;;4;2;500;GiB;;;;8;30;;;;;;;;;x86_64
r4.2xlarge;8;;4;2;62;GiB;;;;4;15;;;;;;;;;x86_64
r4.4xlarge;16;;4;2;125;GiB;;;;8;30;;;;;;;;;x86_64
